"Year","ISO_Code","Countries","ECONOMIC FREEDOM ALL AREAS","EFW RANK","EFW QUARTILE","1Ai Government consumption without interest payments","data","1Aii Government consumption plus interest payments","data.1","1A Government consumption","1B  Transfers and subsidies","data.2","1C  Government investment","data.3","1Di Top marginal income tax rate","data.4","1Dii Top marginal income and payroll tax rate","data.5","1D  Top marginal tax rate","IE State ownership","Area 1 Size of Government","Area 1 Rank","2A  Judicial independence","2B  Impartial courts","2C  Property rights","2D  Military interference","2E Legal integrity","2F Contracts","2G Real property","2H Police and crime","Gender Disparity Index","Area 2 Legal System & Property Rights -- Without Gender Adjustment","Area 2 Legal System & Property Rights -- With Gender Adjustment","Area 2 Rank","3A  Money growth","data.6","3B  Standard deviation of inflation","data.7","3C  Inflation","data.8","3D  Foreign currency bank accounts","Area 3 Sound Money","Area 3 Rank","4Ai  Trade tax revenue","data.9","4Aii  Mean tariff rate","data.10","4Aiii  Standard deviation of tariff rates","data.11","4A  Tariffs","4Bi  Non-tariff trade barriers","4Bii  Costs of importing and exporting","4B  Regulatory trade barriers","4C  Black market exchange rates","4Di  Financial openness","4Dii  Capital controls","4Diii Freedom of foreigners to visit","4Div Protection of Foreign Assets","4D  Controls of the movement of capital and people","Area 4 Freedom to trade internationally","Area 4 Rank","5Ai  Ownership of banks","5Aii Private sector credit","5Aiii  Interest rate controls/negative real interest rates)","5A  Credit market regulation","5Bi  Labor regulations and minimum wage","5Bii  Hiring and firing regulations","5Biii  Flexible wage determination","5Biv  Hours Regulations","5Bv Cost of worker dismissal","5Bvi  Conscription","5Bvii Foreign Labor","5B  Labor market regulations","5Ci  Regulatory Burden","5Cii  Bureacracy costs","5Ciii  Impartial Public Administration","5Civ Tax compliance","5C  Business regulation","5Di  Market openness","5Dii Business Permits","5Diii Distorton of the business environment","5D Freedom to enter markets and compete","Area 5 Regulation","Area 5 Rank","World Bank Region","World Bank Current Income Classification, 1990-Present"
2023,"HKG","Hong Kong SAR, China","8.5500000000000007","1","1","7.1117647058823525","15.82",NA,NA,"7.1117647058823525","8.9836512261580399","4.2299999999999995","4.2599999999999989","35.090000000000003","10","17","10","17","10","7.0975000000000001","7.4905831864080783","37","7.3583908697777778","8.2199604883591668","9.3561414875000004","5.83","6.0164999999999997","7.7573343611800913","8.0257071574570986","8.2139376800000008","1","7.5972465055342671","7.5972465055342671","22","9.3543991205271517","3.2280043973642369","9.6129852631901649","0.96753684202458645","9.16","2.1","10","9.5318460959293283","3","10","0","10","0","10","0","10","9.1579314075000013","9.6698819210793197","9.4139066642896605","10","10","7.6923076923076925","10","9.2314813533333329","9.2309472614102575","9.6612134814249799","1","10","8.2546786004882033","10","9.418226200162735","8.0691025441516402","8.590603999999999","10","8.6389503920933279","5.9955233333333338","10","6.6222039667036849","8.2737691766117116","7.3146533966666674","5.5555555555555554","4.8224999999999998","9.8066391184302724","6.8748370176631237","9.4529938914155078","9.7938081307816987","8.932626298183159","9.3931427734601218","8.4899937919744222","3","East Asia & Pacific","High Income"
2023,"SGP","Singapore","8.5","2","1","4.5235294117647058","24.62","4.4832822851501204","24.75684023048959","4.5034058484574135","9.0708446866485026","3.9099999999999997","9.0028571428571436","18.489999999999998","10","22","10","22","10","5.1449999999999996","7.5444215355926101","36","6.5501727254444448","7.4811420472562133","9.472179412500001","8.33","8.3092499999999987","9.2203404936043594","9.6881625813695997","9.5940530299999995","1","8.5806625362718272","8.5806625362718272","7","9.3739526454652946","3.1302367726735225","6.9327187508456696","7.6682031228858234","8.072000000000001","4.82","10","8.5946678490777408","58","10","0","10","0","10","0","10","9.1820212208333345","9.2047355932783059","9.1933784070558211","10","10","6.9230769230769234","10","9.2655050754166659","9.0471454996233973","9.5601309766698037","2","10","10","10","10","5.533333333333335","7.7823582857142855","8.3588235294117652","2.5","6.8671128888888893","0","5.5866439857483421","5.2326102890138015","7.4394845966666665","9.5555555555555554","9.5549999999999997","9.6413015530300719","9.0478354263130747","8.111943353967348","9.9940276767650573","7.5","8.5353236769108012","8.2039423480594191","5","East Asia & Pacific","High Income"
2023,"NZL","New Zealand","8.33","3","1","3.915553951641999","26.687116564417202","3.6451060853634942","27.60663930976412","3.7803300185027466","5.2697547683923709","17.86","9.0628571428571423","18.28","6","39","6","39","6","7.6775000000000002","6.3580883859504524","105","8.6606511914444457","8.7830237786513283","9.0463225049999991","10","8.3464999999999989","8.7055626128725034","6.9693752767022179","9.3376648425000006","1","8.7311375258963118","8.7311375258963118","5","9.33638515311603","3.3180742344198544","8.8985354873121274","2.7536612817196815","7.7079999999999993","5.73","10","8.985730160107039","36","8.8866666666666667","1.67","9.620000000000001","1.9","8.9664000000000001","2.5839999999999996","9.1576888888888899","8.7225159008333328","8.7396511886397157","8.7310835447365243","10","10","6.9230769230769234","6.14","8.4549085295833333","7.8794963631650639","8.9420671991976199","11","10","8.0091272104962918","10","9.3363757368320979","5.5666666666666664","8.1507668571428571","7.1068624117647055","10","6.4177577222222224","10","6.7415873465915794","7.7119487149125749","5.191193421666668","8.2222222222222232","9.1624999999999996","9.2153471472532829","7.9478156977855434","9.995472710226835","9.3988302345523369","9.4663131490915795","9.6202053646235832","8.6540863785384499","1","East Asia & Pacific","High Income"
2023,"CHE","Switzerland","8.2799999999999994","4","1","6.4529411764705893","18.059999999999999","6.3886940343510972","18.278440283206272","6.4208176054108428","6.1880108991825615","14.49","10","11.52","8","26-43","6","35-50","7","8.8475000000000001","7.69126570091868","28","8.4983057371111101","8.7296447522777285","9.5200419425000007","10","8.7682500000000001","7.3331941859670513","4.0928366003479306","9.5245238141666668","1","8.3083496290463117","8.3083496290463117","12","9.6310357027999984","-1.8448214860000034","9.5608197514295554","1.0979506214261123","9.1440000000000001","2.14","10","9.5839638635573881","1","9.9266666666666676","0.11","8.9599999999999991","5.2","0.28639999999999899","24.284000000000002","6.3910222222222224","6.8623419600000002","9.9082844123077329","8.3853131861538657","10","10","3.0769230769230771","9.16","8.8759134212500008","7.7782091245432694","8.1386361332298396","53","8","10","10","9.3333333333333339","5.2666666666666657","7.2235379285714281","7.9382352941176473","4.1749999999999998","7.027657223937072","0","5.3683710099999997","5.2856383033275449","6.3245630266666666","8.2222222222222232","9.7850000000000001","8.3969062162639769","8.1821728662882176","8.0187558376034236","8.3737543014916795","7.5","7.9641700463650338","7.6913286373285326","11","Europe & Central Asia","High Income"
2023,"USA","United States","8.1","5","1","6.9058823529411759","16.52","5.9874198912552181","19.64277236973226","6.4466511220981975","5.8337874659400546","15.79","9.531428571428572","16.64","5","40-53","5","40-53","5","9.4175000000000004","7.2458734318933633","53","7.730142156555555","7.5940139531857831","8.8001132008333336","6.67","7.3954999999999993","8.4217480419228519","6.4516716644907532","7.6545949775000004","1","7.589722999311034","7.589722999311034","23","8.6687431211839705","6.6562843940801475","9.0546636577386863","2.3633408556532847","8.3520000000000003","4.12","10","9.0188516947306638","31","9.02","1.47","9.34","3.3","6.5283999999999986","8.6790000000000003","8.2961333333333318","7.0079648491666662","9.8011838983195751","8.4045743737431202","10","10","3.8461538461538463","0.54","8.5842410720833335","5.7425987295592948","8.1108266091589378","56","10","5.9129937034916997","10","8.6376645678305675","8.3333333333333339","8.7823582857142863","9.632352941176471","8.3249999999999993","8.4714427777777779","10","6.7200493816666667","8.6092195313812194","5.7737771666666671","7.1111111111111116","8.4225000000000012","6.5191839340666045","6.9566430529610965","9.9637565250806794","9.6038402246375405","10","9.8558655832394066","8.5148481838530721","2","North America","High Income"
2023,"IRL","Ireland","8.0500000000000007","6","1","2.5705882352941174","31.26","2.2390745743408527","32.387146447241101","2.404831404817485","7.8092643051771118","8.5399999999999991","10","9.9223468507333905","6","40","2","57","4","7.8825000000000003","6.4193191419989191","100","7.8572962816666667","7.323520029509071","8.9456117150000001","10","9.3445","5.3581126272954585","6.9340073043237558","7.6533802350000002","1","7.9270535240993691","7.9270535240993691","16","9.2187102543748409","3.9064487281257998","8.7724148612837567","3.0689628467906078","7.48","6.3","10","8.8677812789146486","45","9.6742702967868528","0.48859455481972047","9","5","7","7.5","8.5580900989289503","7.8331073382582463","9.0858027029589934","8.459455020608619","10","10","7.6923076923076925","9.16","9.0026040870833342","8.9637279448477578","8.9953182660963318","5","8","10","9","9","5.9","6.06673057142857","7.5","7.3","5.645820473263889","10","8.1390277541666656","7.2216541141227326","4.8952726516666667","8","8.9924999999999997","9.0095330955283117","7.7243264367987443","7.869023721080719","8.237087903470778","8.75","8.2853705415171657","8.0578377731096609","6","Europe & Central Asia","High Income"
2023,"AUS","Australia","8.0299999999999994","7","1","3.0147058823529411","29.75","2.8027992898612695","30.470482414471682","2.9087525861071053","6.3133514986376031","14.03","9.4742857142857133","16.84","5","45","4","47","4.5","7.8650000000000002","6.2122779598060847","111","8.4326553815555538","8.0736841821705649","9.2228615283333326","10","9.0147499999999994","8.6751103960445413","8.1004939398924254","7.9579448700000004","1","8.6846875372495518","8.6846875372495518","6","8.6553182643941184","6.7234086780294078","9.0571014458690406","2.3572463853274011","7.7599999999999989","5.6","10","8.8681049275657884","44","8.9266666666666676","1.61","9.5200000000000014","2.4","9.0495999999999999","2.3759999999999999","9.1654222222222241","7.7764224055497229","8.4334385595273318","8.1049304825385278","10","10","4.6153846153846159","0.11","6.6331720069983415","5.339639155595739","8.1524979650891236","52","10","9.4370308590492069","10","9.8123436196830696","6.2999999999999989","7.4137100714285715","8.1265360588235289","8","6.3749800914314658","10","3.3291846204783502","7.0777729774517022","3.9817575616666661","7.1111111111111116","9.6999999999999993","8.1615103604399621","7.2385947583044352","9.3571534525507634","8.953087141350732","7.9668103697163897","8.7590169878726289","8.2219320858279588","4","East Asia & Pacific","High Income"
2023,"TWN","Taiwan","8.0299999999999994","7","1","5.3042720418329097","21.96547505776811",NA,NA,"5.3042720418329097","9.0883337934676938","3.8458149779735682","9.8436715732341415","15.547149493680498","7","40","7","40","7","7.5424999999999995","7.7557554817069487","26","6.516104157888889","6.2707962208711088","8.8148085275000003","6.67","8.1425000000000001","7.66970908120215","8.4559336983441415","7.6627870400000004","1","7.525329840725786","7.525329840725786","24","9.145905944985218","4.270470275073901","9.5290591944879512","1.1773520137801246","9.2840000000000007","1.79","10","9.4897412848682929","6","9.673333333333332","0.49","8.6999999999999993","6.5","3.8119999999999998","15.47","7.3951111111111105","7.5121322313830561","8.762370252838231","8.1372512421106435","10","7.5",NA,"5.82","8.010659416666666","7.1102198055555554","8.1606455396943272","51","5","8.3342282575596656","10","7.7780760858532219","4.4666666666666668","6.8142857142857149","6.7176470588235295","3.0500000000000007","4.18888888888889","5","4.9209992091666663","5.0226410768330672","4.9020822850000005","8.8888888888888893","9.6274999999999995","7.5113694253069685","7.732460149798964","8.0399690490485458","9.5815433714369966","7.5","8.3738374734951808","7.2267536964951091","30","East Asia & Pacific","High Income"
2023,"DNK","Denmark","8.02","9","1","2.0323529411764696","33.090000000000003","1.9058275396007573","33.520186365357425","1.9690902403886135","5.346049046321526","17.580000000000002","10","13.735046521931768","3","52","2","56","2.5","7.22","5.4070278573420278","142","8.5646014454444455","8.7960213678764347","9.1674049691666664","10","9.7929999999999993","7.9883867400916371","7.71","9.0446861583333344","1","8.8830125851140647","8.8830125851140647","2","9.3735432866254342","3.1322835668728288","8.1445634567392649","4.638591358151837","8.6760000000000002","3.31","10","9.0485266858411748","26","9.6742702967868528","0.48859455481972047","9","5","7","7.5","8.5580900989289503","7.1024374166666666","9.9816568824615466","8.542047149564107","10","10","6.9230769230769234","9.16","8.7255398433333333","8.7021541916025633","8.9505728600239038","10","10","10","10","10","2.0000000000000009","5.5752638571428568","8.4153595882352938","2.5749999999999993","6.3670858977607718","3","6.0007353625000004","4.8476349579484177","4.787930648333333","6.8888888888888893","9.6174999999999997","8.0101844531245234","7.3261259975866864","8.7131001405085442","9.874835876864541","8.75","9.1126453391243611","7.8216015736648661","8","Europe & Central Asia","High Income"
2023,"NLD","Netherlands","7.97","10","1","0.94999999999999907","36.770000000000003","0.77062511381246424","37.379874613037622","0.86031255690623165","3.7683923705722084","23.369999999999997","9.879175550817342","15.422885572139302","4","50","4","50","4","7.7524999999999995","5.2520760956591559","145","8.1045920871111097","8.6377734280795302","9.2389210066666667","10","9.3015000000000008","7.9033823650974542","9.9009815450469745","8.3761472547163898","1","8.9329122108397652","8.9329122108397652","1","9.3228942716107355","3.3855286419463226","9.1402842496000254","2.149289375999933","8.4640000000000004","3.84","10","9.2317946303026908","17","9.6742702967868528","0.48859455481972047","9","5","7","7.5","8.5580900989289503","8.0397693565915809","9.9816568824615466","9.0107131195265637","10","10","8.4615384615384617","9.16","8.7141297258333328","9.0839170468429487","9.1631800663246157","3","5","9.8758805769875888","10","8.2919601923291975","4.0666666666666664","4.1428571428571423","4.0800654705882362","3.3999999999999995","4.7067765868055549","10","6.9082256158333344","5.3292273546787055","5.6634243333333334","7.333333333333333","8.1724999999999994","6.8330450751652902","7.0005756854579895","8.0864810688589124","8.2869352116658632","8.75","8.3744720935082579","7.2490588314935369","28","Europe & Central Asia","High Income"
