"country","iso2c","iso3c","year","status","lastupdated","NY.GDP.PCAP.KD","NE.GDI.FTOT.KD.ZG","SE.SEC.ENRR","FP.CPI.TOTL.ZG","FS.AST.PRVT.GD.ZS","BX.TRF.PWKR.DT.GD.ZS","FR.INR.RINR","SL.TLF.CACT.ZS","region","capital","longitude","latitude","income","lending"
"Afghanistan","AF","AFG",2011,"","2025-10-07",525.42698276582,NA,52.4474296569824,11.8041858089129,4.95918037606027,1.0059846865258,-1.24150601267893,46.881,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2021,"","2025-10-07",408.625855217403,-9.38138374219062,NA,5.1332034082496,NA,2.24403998810715,NA,40.932,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2010,"","2025-10-07",542.871030476037,NA,50.4406204223633,2.17853752389419,11.5750442390122,2.38515836845792,11.3640937396778,46.811,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2012,"","2025-10-07",568.929021458341,NA,54.372859954834,6.44121280934116,4.47210362973721,1.10218743514509,7.17438724753763,46.956,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2020,"","2025-10-07",527.834554499306,NA,NA,5.60188791482222,3.09659808966059,3.95329685319887,NA,41.579,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2023,"","2025-10-07",378.06630312259,-5.68794174668355,NA,-4.64470870797776,NA,1.8656461200228,NA,37.673,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2022,"","2025-10-07",377.665627080705,29.1584239755512,NA,13.7121023720065,NA,2.20731611347931,NA,37.64,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2018,"","2025-10-07",553.125151688293,NA,57.3578491210938,0.626149149168802,3.51231703339133,4.45098621835989,NA,45.57,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2019,"","2025-10-07",557.861533207459,NA,NA,2.30237251516839,3.22995723026215,4.40742759471936,NA,43.823,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2017,"","2025-10-07",562.769574140988,NA,55.5364303588867,4.97595150553836,3.84188120492596,4.38709328246437,12.1411782989064,47.305,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
